method,MAE,RMSE,KS,Wasserstein,time_sec
linear,527.6340176665349,26477.821973553266,0.002609641686447395,19.755158165071855,0.18047881126403809
ffill,762.3186043715383,51212.75068590172,0.00040267887419465076,34.34742135866863,0.01631784439086914
poly,2004.760569728702,44673.07824978657,0.02080507516672314,101.53810291251827,42.80030393600464
knn,533.8113299499106,5938.028560019682,0.041454730417090524,15.411087626098524,19.46218514442444
zeros,7706.2461566350175,168717.62106162315,0.04912258392675484,770.6246156632742,0.0030128955841064453
