method,MAE,RMSE,KS,Wasserstein,time_sec
linear,585.7553463400965,20484.447904696113,0.0028865717192267937,20.514119150272826,0.17418408393859863
ffill,747.5278294337065,27891.805999593995,0.00023736859952527833,32.31223252512565,0.01624608039855957
poly,2052.5786161562855,45740.530676139926,0.021139934441053443,94.17403038900224,38.61003923416138
knn,744.100966677411,15726.738651707217,0.04268678648129304,30.777525905841998,17.326127767562866
zeros,8513.639126299877,188178.25637325668,0.04861676274443316,851.3639126297306,0.003013134002685547
